Type,variant_id,Name,abc_compressed = { + concatenated gracenotes + } + target note,abc_steps = comma‑separated gracenotes only,target_note = final melodic note (case preserved),durations_ms,timing_ratio,anchor,is_default
Piobaireachd,,Thumb Grip Enbain,{aAGdG}G,"a,A,G,d,G",G,"30,30,30,30,30","1,1,1,1,1",1,
Piobaireachd,,Thumb Grip Otro,{aBGdG}G,"a,B,G,d,G",G,"30,30,30,30,30","1,1,1,1,1",1,
Piobaireachd,,Thumb Grip Odro,{acGdG}G,"a,c,G,d,G",G,"30,30,30,30,30","1,1,1,1,1",1,
Piobaireachd,,Thumb Grip Adeda,{adGeG}G,"a,d,G,e,G",G,"30,30,30,30,30","1,1,1,1,1",1,
,,,,,,,,,
Piobaireachd,,Echo LG,{G}G,G,G,60,2,1,
Piobaireachd,,Echo LA,{A}A,A,A,60,2,1,
Piobaireachd,,Echo B,{B}B,B,B,60,2,1,
Piobaireachd,,Echo C,{c}c,c,c,60,2,1,
Piobaireachd,,Echo D,{d}d,d,d,60,2,1,
Piobaireachd,,Echo E,{e}e,e,e,60,2,1,
Piobaireachd,,Echo F,{f}f,f,f,60,2,1,
Piobaireachd,,Echo HG,{g}g,g,g,60,2,1,
Piobaireachd,,Echo HA,{a}a,a,a,60,2,1,
,,,,,,,,,
Piobaireachd,,Crunluath,{GdGeAf}A,"G,d,G,e,A,f",A,"30,30,30,30,30,30,30","1,1,1,1,1,1,1",1,
Piobaireachd,,Crunluath (crunlb),{GBGeAf}A,"G,B,G,e,A,f",A,"30,30,30,30,30,30,30","1,1,1,1,1,1,1",1,
Piobaireachd,,Crunluath (hcrunlla),{dAeAf}A,"d,A,e,A,f",A,"30,30,30,30,30,30","1,1,1,1,1,1",1,
Piobaireachd,,Crunluath (hcrunllgla),{dGeAf}A,"d,G,e,A,f",A,"30,30,30,30,30,30","1,1,1,1,1,1",1,
,,,,,,,,,
Piobaireachd,,Closed Crunluath (crunlbrea),{dGeGfG}G,"d,G,e,G,f,G",G,"30,30,30,30,30,30","1,1,1,1,1,1",1,
Piobaireachd,,Closed Crunluath (crunlbbrea),{GdGeGfG}G,"G,d,G,e,G,f,G",G,"30,30,30,30,30,30,30","1,1,1,1,1,1,1",1,
Piobaireachd,,Closed Crunluath,{GBGeGfG}G,"G,B,G,e,G,f,G",G,"30,30,30,30,30,30,30","1,1,1,1,1,1,1",1,
,,,,,,,,,
Piobaireachd,,A Mach on LG,{eGf}f,"e,G,f",f,"30,30,30","1,1,1",1,
Piobaireachd,,A Mach on LA,{eAf}f,"e,A,f",f,"30,30,30","1,1,1",1,
Piobaireachd,,A Mach on B,{eBf}f,"e,B,f",f,"30,30,30","1,1,1",1,
Piobaireachd,,A Mach on C,{ecf}f,"e,c,f",f,"30,30,30","1,1,1",1,
Piobaireachd,,A Mach on D,{edf}f,"e,d,f",f,"30,30,30","1,1,1",1,
,,,,,,,,,
Piobaireachd,,Darodo,{GdGcG}G,"G,d,G,c,G",G,"30,30,30,30,30","1,1,1,1,1",1,
Piobaireachd,,Darodo (hdarodo),{dGcG}G,"d,G,c,G",G,"30,30,30,30","1,1,1,1",1,
Piobaireachd,,Darodo16,{GdGcG}G,"G,d,G,c,G",G,"50,30,30,30,50","1,1,1,1,1",1,
,,,,,,,,,
Piobaireachd,,Hiharin,{dAGAG}G,"d,A,G,A,G",G,"30,30,30,30,30","1,1,1,1,1",1,
Piobaireachd,,Rodin,{GBG}G,"G,B,G",G,"30,30,30","1,1,1",1,
Piobaireachd,,Chelalho,{fde}e,"f,d,e",e,"90,30,30","3,1,1",1,
Piobaireachd,,Din,{G}G,G,G,30,1,1,
